PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,11,LP433186-6,17974-7,Bacteria Ur Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,12,LP433186-6,44847-2,Bacteria Ur Cult org #7
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,13,LP433186-6,44849-8,Bacteria Ur Cult org #8
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,68,LP14082-9,LP441982-8,Bacteria | Urine sediment | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP441982-8,1,LP441982-8,105051-7,Bacteria UrnS Micro-#/area
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP441982-8,2,LP441982-8,105052-5,Bacteria UrnS Ql Micro
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,69,LP14082-9,LP442087-5,Bacteria | Uterus | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442087-5,1,LP442087-5,77193-1,Bacteria Uterus Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,70,LP14082-9,LP373682-6,Bacteria | Vaginal | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373682-6,1,LP373682-6,44243-4,Bacteria Vag Wet Prep-#/area
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373682-6,2,LP373682-6,11261-5,Bacteria Vag Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373682-6,3,LP373682-6,44023-0,Bacteria Vag Ql Wet Prep
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,71,LP14082-9,LP442088-3,Bacteria | Ventriculoperitoneal (VP) shunt | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442088-3,1,LP442088-3,74356-7,Bacteria VP shunt Cult
